,node_index,node_name,node_source,node_id,node_type
40200,40200,"positive regulation of CD4-positive, alpha-beta T cell activation",GO,2000516,biological_process
40201,40201,positive regulation of alpha-beta T cell proliferation,GO,46641,biological_process
40210,40210,positive regulation of ion transport,GO,43270,biological_process
40214,40214,positive regulation of inflammatory response,GO,50729,biological_process
40225,40225,positive regulation of cell population proliferation,GO,8284,biological_process
40237,40237,positive regulation of cell differentiation,GO,45597,biological_process
40247,40247,positive regulation of cell migration,GO,30335,biological_process
40257,40257,positive regulation of protein-containing complex assembly,GO,31334,biological_process
40264,40264,positive regulation of epidermal growth factor receptor signaling pathway,GO,45742,biological_process
40269,40269,regulation of multicellular organism growth,GO,40014,biological_process
40270,40270,positive regulation of developmental growth,GO,48639,biological_process
40281,40281,positive regulation of protein secretion,GO,50714,biological_process
40283,40283,regulation of branching morphogenesis of a nerve,GO,2000172,biological_process
40301,40301,positive regulation of epithelial cell proliferation,GO,50679,biological_process
40315,40315,positive regulation of immunoglobulin production,GO,2639,biological_process
40316,40316,regulation of isotype switching,GO,45191,biological_process
40318,40318,positive regulation of B cell activation,GO,50871,biological_process
40343,40343,positive regulation of canonical Wnt signaling pathway,GO,90263,biological_process
40359,40359,positive regulation of insulin receptor signaling pathway,GO,46628,biological_process
40373,40373,positive regulation of neuron differentiation,GO,45666,biological_process
40378,40378,regulation of cytokine production,GO,1817,biological_process
40379,40379,positive regulation of gene expression,GO,10628,biological_process
40387,40387,oxalate transport,GO,19532,biological_process
40397,40397,regulation of leukocyte mediated cytotoxicity,GO,1910,biological_process
40401,40401,positive regulation of cytokine production involved in immune response,GO,2720,biological_process
40402,40402,regulation of dendritic cell cytokine production,GO,2730,biological_process
40405,40405,cell differentiation,GO,30154,biological_process
40411,40411,chromatin organization,GO,6325,biological_process
40412,40412,Wnt signaling pathway,GO,16055,biological_process
40415,40415,cell division,GO,51301,biological_process
40418,40418,positive regulation of actin filament polymerization,GO,30838,biological_process
40423,40423,cell maturation,GO,48469,biological_process
40438,40438,cell-cell signaling,GO,7267,biological_process
40439,40439,G protein-coupled receptor signaling pathway,GO,7186,biological_process
40445,40445,DNA methylation,GO,6306,biological_process
40451,40451,cell population proliferation,GO,8283,biological_process
40454,40454,cell fate commitment,GO,45165,biological_process
40462,40462,cell chemotaxis,GO,60326,biological_process
40463,40463,positive chemotaxis,GO,50918,biological_process
40469,40469,epithelial cell differentiation,GO,30855,biological_process
40494,40494,amine metabolic process,GO,9308,biological_process
40548,40548,tissue development,GO,9888,biological_process
40549,40549,animal organ morphogenesis,GO,9887,biological_process
40558,40558,extracellular matrix assembly,GO,85029,biological_process
40561,40561,gland morphogenesis,GO,22612,biological_process
40578,40578,developmental growth,GO,48589,biological_process
40583,40583,blood vessel development,GO,1568,biological_process
40588,40588,anatomical structure morphogenesis,GO,9653,biological_process
40605,40605,hydrogen peroxide catabolic process,GO,42744,biological_process
40608,40608,peptide catabolic process,GO,43171,biological_process
40611,40611,regulation of epithelial cell proliferation,GO,50678,biological_process
40612,40612,negative regulation of cell population proliferation,GO,8285,biological_process
40621,40621,regulation of cellular ketone metabolic process,GO,10565,biological_process
40628,40628,regulation of lipid metabolic process,GO,19216,biological_process
40633,40633,regulation of steroid biosynthetic process,GO,50810,biological_process
40658,40658,negative regulation of epithelial cell differentiation,GO,30857,biological_process
40679,40679,cell morphogenesis,GO,902,biological_process
40691,40691,innate immune response,GO,45087,biological_process
40692,40692,complement activation,GO,6956,biological_process
40694,40694,defense response to fungus,GO,50832,biological_process
40696,40696,defense response to bacterium,GO,42742,biological_process
40700,40700,humoral immune response,GO,6959,biological_process
40703,40703,cellular response to stress,GO,33554,biological_process
40706,40706,defense response to virus,GO,51607,biological_process
40715,40715,positive regulation of cellular biosynthetic process,GO,31328,biological_process
40716,40716,positive regulation of nitrogen compound metabolic process,GO,51173,biological_process
40728,40728,positive regulation of lipid catabolic process,GO,50996,biological_process
40731,40731,positive regulation of cellular respiration,GO,1901857,biological_process
40736,40736,positive regulation of lipid biosynthetic process,GO,46889,biological_process
40738,40738,positive regulation of fatty acid metabolic process,GO,45923,biological_process
40751,40751,response to salt stress,GO,9651,biological_process
40753,40753,hyperosmotic response,GO,6972,biological_process
40767,40767,positive regulation of protein binding,GO,32092,biological_process
40792,40792,cholesterol metabolic process,GO,8203,biological_process
40807,40807,regulation of cell migration,GO,30334,biological_process
40827,40827,salivary gland morphogenesis,GO,7435,biological_process
40873,40873,response to progesterone,GO,32570,biological_process
40877,40877,cellular response to organic cyclic compound,GO,71407,biological_process
40878,40878,cellular response to organonitrogen compound,GO,71417,biological_process
40892,40892,cellular response to organic substance,GO,71310,biological_process
40916,40916,negative regulation of lipid catabolic process,GO,50995,biological_process
40924,40924,response to glucocorticoid,GO,51384,biological_process
40925,40925,response to organic cyclic compound,GO,14070,biological_process
40930,40930,response to lipid,GO,33993,biological_process
40937,40937,positive regulation of programmed cell death,GO,43068,biological_process
40941,40941,negative regulation of hydrogen peroxide-induced cell death,GO,1903206,biological_process
40962,40962,regulation of type 2 immune response,GO,2828,biological_process
40967,40967,regulation of adaptive immune response,GO,2819,biological_process
40975,40975,anion transport,GO,6820,biological_process
40976,40976,regulation of membrane potential,GO,42391,biological_process
40980,40980,negative regulation of platelet-derived growth factor receptor signaling pathway,GO,10642,biological_process
40983,40983,cellular response to amino acid stimulus,GO,71230,biological_process
40996,40996,negative regulation of cell differentiation,GO,45596,biological_process
40998,40998,regulation of endocytosis,GO,30100,biological_process
41003,41003,regulation of phagocytosis,GO,50764,biological_process
41023,41023,S-adenosylmethionine metabolic process,GO,46500,biological_process
41047,41047,protein transport,GO,15031,biological_process
41059,41059,receptor-mediated endocytosis,GO,6898,biological_process
41065,41065,transmembrane transport,GO,55085,biological_process
41078,41078,negative regulation of ATPase activity,GO,32780,biological_process
41084,41084,Golgi organization,GO,7030,biological_process
41100,41100,membrane organization,GO,61024,biological_process
41109,41109,cortical actin cytoskeleton organization,GO,30866,biological_process
41129,41129,peptide cross-linking,GO,18149,biological_process
41133,41133,protein phosphorylation,GO,6468,biological_process
41157,41157,positive regulation of osteoclast differentiation,GO,45672,biological_process
41163,41163,positive regulation of cardiac muscle cell differentiation,GO,2000727,biological_process
41167,41167,positive regulation of chondrocyte differentiation,GO,32332,biological_process
41181,41181,regulation of neurogenesis,GO,50767,biological_process
41188,41188,hematopoietic progenitor cell differentiation,GO,2244,biological_process
41259,41259,regulation of dendritic spine morphogenesis,GO,61001,biological_process
41289,41289,regulation of DNA binding,GO,51101,biological_process
41292,41292,negative regulation of T cell apoptotic process,GO,70233,biological_process
41298,41298,regulation of immune response,GO,50776,biological_process
41304,41304,negative regulation of cell migration,GO,30336,biological_process
41315,41315,regulation of natural killer cell mediated cytotoxicity,GO,42269,biological_process
41318,41318,negative regulation of T cell mediated immunity,GO,2710,biological_process
41320,41320,cellular response to DNA damage stimulus,GO,6974,biological_process
41325,41325,regulation of transcription by RNA polymerase II,GO,6357,biological_process
41362,41362,double-strand break repair,GO,6302,biological_process
41430,41430,regulation of transforming growth factor beta receptor signaling pathway,GO,17015,biological_process
41433,41433,regulation of SMAD protein signal transduction,GO,60390,biological_process
41434,41434,positive regulation of protein phosphorylation,GO,1934,biological_process
41480,41480,regulation of cell shape,GO,8360,biological_process
41481,41481,regulation of canonical Wnt signaling pathway,GO,60828,biological_process
41524,41524,regulation of gene expression,GO,10468,biological_process
41537,41537,positive regulation of protein-containing complex disassembly,GO,43243,biological_process
41607,41607,positive regulation of protein transport,GO,51222,biological_process
41621,41621,positive regulation of dopamine receptor signaling pathway,GO,60161,biological_process
41628,41628,negative regulation of protein phosphorylation,GO,1933,biological_process
41638,41638,cellular protein metabolic process,GO,44267,biological_process
41670,41670,glucose metabolic process,GO,6006,biological_process
41684,41684,lysosome organization,GO,7040,biological_process
41707,41707,regulation of gastrulation,GO,10470,biological_process
41716,41716,regulation of reactive oxygen species metabolic process,GO,2000377,biological_process
41720,41720,regulation of fatty acid metabolic process,GO,19217,biological_process
41751,41751,phosphorylation,GO,16310,biological_process
41780,41780,negative regulation of neuron differentiation,GO,45665,biological_process
41845,41845,regulation of nitric oxide biosynthetic process,GO,45428,biological_process
41852,41852,regulation of gluconeogenesis,GO,6111,biological_process
41857,41857,regulation of fatty acid biosynthetic process,GO,42304,biological_process
41894,41894,positive regulation of reactive oxygen species biosynthetic process,GO,1903428,biological_process
41907,41907,positive regulation of cellular protein metabolic process,GO,32270,biological_process
41918,41918,regulation of bile acid biosynthetic process,GO,70857,biological_process
41968,41968,immune response-regulating cell surface receptor signaling pathway,GO,2768,biological_process
41981,41981,hormone-mediated signaling pathway,GO,9755,biological_process
41990,41990,positive regulation of protein ubiquitination,GO,31398,biological_process
41996,41996,glycolate metabolic process,GO,9441,biological_process
42011,42011,negative regulation of protein secretion,GO,50709,biological_process
42013,42013,regulation of transmission of nerve impulse,GO,51969,biological_process
42025,42025,modulation of chemical synaptic transmission,GO,50804,biological_process
42036,42036,cellular response to drug,GO,35690,biological_process
42063,42063,cellular response to hormone stimulus,GO,32870,biological_process
42073,42073,response to cobalamin,GO,33590,biological_process
42088,42088,response to estradiol,GO,32355,biological_process
42100,42100,cellular response to alkaloid,GO,71312,biological_process
42104,42104,response to vitamin E,GO,33197,biological_process
42113,42113,response to cAMP,GO,51591,biological_process
42119,42119,response to folic acid,GO,51593,biological_process
42120,42120,response to vitamin B2,GO,33274,biological_process
42127,42127,cellular response to fatty acid,GO,71398,biological_process
42134,42134,response to cocaine,GO,42220,biological_process
42151,42151,xenobiotic transport,GO,42908,biological_process
42157,42157,transepithelial transport,GO,70633,biological_process
42161,42161,quaternary ammonium group transport,GO,15697,biological_process
42162,42162,terpenoid transport,GO,46865,biological_process
42164,42164,negative regulation of stem cell differentiation,GO,2000737,biological_process
42173,42173,negative regulation of BMP signaling pathway,GO,30514,biological_process
42179,42179,negative regulation of epithelial cell proliferation,GO,50680,biological_process
42183,42183,negative regulation of cell-cell adhesion,GO,22408,biological_process
42186,42186,negative regulation of hormone secretion,GO,46888,biological_process
42188,42188,negative regulation of insulin receptor signaling pathway,GO,46627,biological_process
42193,42193,negative regulation of G protein-coupled receptor signaling pathway,GO,45744,biological_process
42210,42210,negative regulation of epidermal growth factor receptor signaling pathway,GO,42059,biological_process
42222,42222,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,GO,1902042,biological_process
42240,42240,regulation of macroautophagy,GO,16241,biological_process
42241,42241,regulation of protein-containing complex assembly,GO,43254,biological_process
42244,42244,regulation of postsynapse organization,GO,99175,biological_process
42246,42246,methylation,GO,32259,biological_process
42258,42258,negative regulation of extrinsic apoptotic signaling pathway,GO,2001237,biological_process
42266,42266,negative regulation of apoptotic signaling pathway,GO,2001234,biological_process
42276,42276,regulation of natural killer cell proliferation,GO,32817,biological_process
42282,42282,response to antibiotic,GO,46677,biological_process
42283,42283,response to amino acid,GO,43200,biological_process
42287,42287,response to hormone,GO,9725,biological_process
42295,42295,bile acid metabolic process,GO,8206,biological_process
42296,42296,response to drug,GO,42493,biological_process
42297,42297,response to organic substance,GO,10033,biological_process
42321,42321,carboxylic acid transmembrane transport,GO,1905039,biological_process
42328,42328,regulation of cell population proliferation,GO,42127,biological_process
42335,42335,positive regulation of acute inflammatory response,GO,2675,biological_process
42337,42337,negative regulation of acute inflammatory response,GO,2674,biological_process
42340,42340,regulation of B cell differentiation,GO,45577,biological_process
42351,42351,"positive regulation of transcription, DNA-templated",GO,45893,biological_process
42370,42370,cellular protein localization,GO,34613,biological_process
42378,42378,organic cation transport,GO,15695,biological_process
42383,42383,signal transduction,GO,7165,biological_process
42385,42385,response to endoplasmic reticulum stress,GO,34976,biological_process
42386,42386,regulation of blood pressure,GO,8217,biological_process
42408,42408,positive regulation of cytosolic calcium ion concentration,GO,7204,biological_process
42417,42417,negative regulation of protein targeting to mitochondrion,GO,1903215,biological_process
42420,42420,negative regulation of intracellular protein transport,GO,90317,biological_process
42421,42421,regulation of protein import into nucleus,GO,42306,biological_process
42425,42425,long-chain fatty acid transport,GO,15909,biological_process
42428,42428,amino acid import across plasma membrane,GO,89718,biological_process
42604,42604,B cell differentiation,GO,30183,biological_process
42605,42605,morphogenesis of a branching structure,GO,1763,biological_process
42627,42627,positive regulation of signal transduction,GO,9967,biological_process
42630,42630,regulation of fatty acid transport,GO,2000191,biological_process
42659,42659,response to vitamin A,GO,33189,biological_process
42668,42668,response to lipopolysaccharide,GO,32496,biological_process
42680,42680,protein processing,GO,16485,biological_process
42713,42713,sphingolipid metabolic process,GO,6665,biological_process
42745,42745,regulation of macrophage chemotaxis,GO,10758,biological_process
42746,42746,positive regulation of leukocyte chemotaxis,GO,2690,biological_process
42774,42774,negative regulation of neuron projection development,GO,10977,biological_process
42776,42776,negative regulation of neurogenesis,GO,50768,biological_process
42809,42809,GTP metabolic process,GO,46039,biological_process
42844,42844,negative regulation of transcription by RNA polymerase II,GO,122,biological_process
42846,42846,negative regulation of insulin secretion,GO,46676,biological_process
42847,42847,regulation of insulin secretion involved in cellular response to glucose stimulus,GO,61178,biological_process
42876,42876,regulation of response to wounding,GO,1903034,biological_process
42880,42880,cellular homeostasis,GO,19725,biological_process
42887,42887,receptor internalization,GO,31623,biological_process
42928,42928,regulation of binding,GO,51098,biological_process
42937,42937,viral entry into host cell,GO,46718,biological_process
42939,42939,endocytosis,GO,6897,biological_process
42955,42955,negative regulation of mitotic cell cycle,GO,45930,biological_process
42957,42957,positive regulation of mitotic cell cycle,GO,45931,biological_process
42999,42999,regulation of glucose metabolic process,GO,10906,biological_process
43037,43037,negative regulation of T cell receptor signaling pathway,GO,50860,biological_process
43040,43040,response to toxic substance,GO,9636,biological_process
43054,43054,response to nicotine,GO,35094,biological_process
43056,43056,cellular response to nutrient levels,GO,31669,biological_process
43057,43057,response to nutrient,GO,7584,biological_process
43061,43061,response to food,GO,32094,biological_process
43079,43079,cell activation,GO,1775,biological_process
43083,43083,activation of innate immune response,GO,2218,biological_process
43084,43084,leukocyte migration,GO,50900,biological_process
43085,43085,activation of immune response,GO,2253,biological_process
43086,43086,respiratory burst,GO,45730,biological_process
43091,43091,protein acetylation,GO,6473,biological_process
43117,43117,lipoprotein metabolic process,GO,42157,biological_process
43120,43120,autophagy,GO,6914,biological_process
43148,43148,negative regulation of cytokine production,GO,1818,biological_process
43149,43149,positive regulation of cytokine production,GO,1819,biological_process
43151,43151,"negative regulation of transcription, DNA-templated",GO,45892,biological_process
43153,43153,"negative regulation of gene expression, epigenetic",GO,45814,biological_process
43163,43163,regulation of apoptotic process,GO,42981,biological_process
43173,43173,ion transport,GO,6811,biological_process
43196,43196,regulation of cholesterol metabolic process,GO,90181,biological_process
43228,43228,reactive oxygen species biosynthetic process,GO,1903409,biological_process
43258,43258,sulfate transmembrane transport,GO,1902358,biological_process
43260,43260,iron ion transmembrane transport,GO,34755,biological_process
43286,43286,manganese ion transmembrane transport,GO,71421,biological_process
43299,43299,response to hydroperoxide,GO,33194,biological_process
43307,43307,positive regulation of protein catabolic process,GO,45732,biological_process
43313,43313,positive regulation of miRNA metabolic process,GO,2000630,biological_process
43330,43330,regulation of autophagy,GO,10506,biological_process
43337,43337,positive regulation of fatty acid oxidation,GO,46321,biological_process
43347,43347,regulation of mitochondrial fission,GO,90140,biological_process
43385,43385,positive regulation of extracellular matrix assembly,GO,1901203,biological_process
43403,43403,positive regulation of apoptotic process,GO,43065,biological_process
43410,43410,regulation of mitochondrial membrane permeability,GO,46902,biological_process
43446,43446,regulation of synaptic vesicle transport,GO,1902803,biological_process
43456,43456,platelet-derived growth factor receptor signaling pathway,GO,48008,biological_process
43474,43474,negative regulation of chemotaxis,GO,50922,biological_process
43485,43485,negative regulation of cytokine activity,GO,60302,biological_process
43505,43505,cell surface receptor signaling pathway involved in cell-cell signaling,GO,1905114,biological_process
43532,43532,positive regulation of T cell mediated immune response to tumor cell,GO,2842,biological_process
43538,43538,positive regulation of autophagy,GO,10508,biological_process
43539,43539,positive regulation by symbiont of host autophagy,GO,75044,biological_process
43540,43540,negative regulation of autophagy,GO,10507,biological_process
43542,43542,metal ion export,GO,70839,biological_process
43545,43545,export across plasma membrane,GO,140115,biological_process
43561,43561,regulation of fat cell differentiation,GO,45598,biological_process
43587,43587,"regulation of transcription, DNA-templated",GO,6355,biological_process
43596,43596,leukocyte apoptotic process,GO,71887,biological_process
43610,43610,response to cholesterol,GO,70723,biological_process
43614,43614,response to ethanol,GO,45471,biological_process
43622,43622,positive regulation of neurogenesis,GO,50769,biological_process
43629,43629,neuron differentiation,GO,30182,biological_process
43630,43630,glial cell differentiation,GO,10001,biological_process
43633,43633,striated muscle cell differentiation,GO,51146,biological_process
43638,43638,siderophore-dependent iron import into cell,GO,33214,biological_process
43655,43655,positive regulation of cell growth,GO,30307,biological_process
43656,43656,negative regulation of cell growth,GO,30308,biological_process
43674,43674,positive regulation of translation,GO,45727,biological_process
43739,43739,methionine metabolic process,GO,6555,biological_process
43744,43744,ornithine metabolic process,GO,6591,biological_process
43746,43746,homocysteine metabolic process,GO,50667,biological_process
43771,43771,response to peptidoglycan,GO,32494,biological_process
43791,43791,calcium-mediated signaling,GO,19722,biological_process
43804,43804,negative regulation of cell cycle,GO,45786,biological_process
43805,43805,positive regulation of cell cycle,GO,45787,biological_process
43811,43811,regulation of DNA recombination,GO,18,biological_process
43816,43816,embryonic pattern specification,GO,9880,biological_process
43826,43826,negative regulation of protein binding,GO,32091,biological_process
43835,43835,positive regulation of MAPK cascade,GO,43410,biological_process
43870,43870,positive regulation of epithelial cell migration,GO,10634,biological_process
43884,43884,regulation of chloride transport,GO,2001225,biological_process
43899,43899,positive regulation of cell division,GO,51781,biological_process
43916,43916,circadian rhythm,GO,7623,biological_process
43923,43923,glycolipid metabolic process,GO,6664,biological_process
43977,43977,positive regulation of protein dephosphorylation,GO,35307,biological_process
43996,43996,negative regulation of apoptotic process,GO,43066,biological_process
44025,44025,neuron projection morphogenesis,GO,48812,biological_process
44030,44030,negative regulation of signaling receptor activity,GO,2000272,biological_process
44033,44033,negative regulation of protein tyrosine kinase activity,GO,61099,biological_process
44074,44074,positive regulation of mononuclear cell migration,GO,71677,biological_process
44094,44094,actin polymerization or depolymerization,GO,8154,biological_process
44106,44106,regulation of feeding behavior,GO,60259,biological_process
44107,44107,mitochondrion organization,GO,7005,biological_process
44157,44157,response to bacterium,GO,9617,biological_process
44171,44171,response to peptide hormone,GO,43434,biological_process
44172,44172,response to gonadotropin,GO,34698,biological_process
44176,44176,positive regulation of receptor binding,GO,1900122,biological_process
44179,44179,positive regulation of signaling receptor activity,GO,2000273,biological_process
44192,44192,iron ion homeostasis,GO,55072,biological_process
44200,44200,protein localization to mitochondrion,GO,70585,biological_process
44207,44207,radial glial cell differentiation,GO,60019,biological_process
44217,44217,cellular response to oxidative stress,GO,34599,biological_process
44256,44256,iron ion transport,GO,6826,biological_process
44257,44257,cellular iron ion homeostasis,GO,6879,biological_process
44266,44266,neuron cellular homeostasis,GO,70050,biological_process
44270,44270,insulin secretion,GO,30073,biological_process
44284,44284,regulation of bone remodeling,GO,46850,biological_process
44298,44298,odontogenesis of dentin-containing tooth,GO,42475,biological_process
44303,44303,epithelial to mesenchymal transition,GO,1837,biological_process
44330,44330,negative regulation of endopeptidase activity,GO,10951,biological_process
44347,44347,negative regulation of protein sumoylation,GO,33234,biological_process
44348,44348,negative regulation of glycolytic process,GO,45820,biological_process
44366,44366,negative regulation of DNA biosynthetic process,GO,2000279,biological_process
44372,44372,regulation of T cell tolerance induction,GO,2664,biological_process
44405,44405,mesoderm development,GO,7498,biological_process
44417,44417,carnitine transport,GO,15879,biological_process
44426,44426,positive regulation of reactive oxygen species metabolic process,GO,2000379,biological_process
44433,44433,temperature homeostasis,GO,1659,biological_process
44441,44441,glycerol biosynthetic process,GO,6114,biological_process
44447,44447,purinergic nucleotide receptor signaling pathway,GO,35590,biological_process
44455,44455,complement receptor mediated signaling pathway,GO,2430,biological_process
44461,44461,activation of protein kinase activity,GO,32147,biological_process
44462,44462,intestinal absorption,GO,50892,biological_process
44486,44486,positive regulation of chemokine production,GO,32722,biological_process
44487,44487,negative regulation of chemokine production,GO,32682,biological_process
44495,44495,cellular response to growth factor stimulus,GO,71363,biological_process
44501,44501,negative regulation of toll-like receptor signaling pathway,GO,34122,biological_process
44502,44502,positive regulation of toll-like receptor signaling pathway,GO,34123,biological_process
44520,44520,response to oxidative stress,GO,6979,biological_process
44522,44522,response to molecule of bacterial origin,GO,2237,biological_process
44538,44538,regulation of immunoglobulin production,GO,2637,biological_process
44539,44539,positive regulation of prostaglandin secretion,GO,32308,biological_process
44545,44545,macrophage differentiation,GO,30225,biological_process
